piste;nimi;x_gk25;y_gk25;suunta;aika;vuosi;ha;pa;ka;ra;la;mp;rv;autot
A02;LAPINLAHDEN SILTA;25494579;6672693;2;745;2011;326;30;13;7;34;3;0;410
A02;LAPINLAHDEN SILTA;25494579;6672693;2;800;2011;362;21;16;9;29;5;0;437
A02;LAPINLAHDEN SILTA;25494579;6672693;2;815;2011;358;21;7;3;33;1;0;422
A02;LAPINLAHDEN SILTA;25494579;6672693;2;830;2011;430;24;10;4;30;2;0;498
A02;LAPINLAHDEN SILTA;25494579;6672693;2;845;2011;397;43;15;7;34;5;0;496
A02;LAPINLAHDEN SILTA;25494579;6672693;2;900;2011;1132;124;41;19;106;17;0;1422
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1000;2011;953;178;37;23;73;9;0;1264
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1100;2011;1149;182;54;6;60;8;0;1451
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1200;2011;1187;162;41;12;53;8;0;1455
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1300;2011;1274;175;53;51;61;11;0;1614
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1400;2011;1519;202;54;10;75;15;0;1860
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1500;2011;497;42;14;1;20;9;0;574
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1515;2011;589;73;14;4;21;9;0;701
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1530;2011;660;54;9;3;33;9;0;759
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1545;2011;684;41;1;2;31;6;0;759
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1600;2011;704;43;1;2;32;6;0;782
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1615;2011;761;28;12;11;44;7;0;856
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1630;2011;742;36;9;8;32;11;0;827
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1645;2011;661;27;6;5;34;9;0;733
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1700;2011;686;24;6;6;29;11;0;751
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1715;2011;654;20;4;1;23;7;0;702
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1730;2011;616;16;3;2;20;12;0;657
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1745;2011;543;12;8;2;25;14;0;590
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1800;2011;1824;62;16;3;84;28;0;1989
A02;LAPINLAHDEN SILTA;25494579;6672693;2;1900;2011;1374;68;5;37;36;0;0;1520
A02;LAPINLAHDEN SILTA;25494579;6672693;2;2000;2011;1307;60;11;23;67;0;0;1468
A02;LAPINLAHDEN SILTA;25494579;6672693;2;2100;2011;1041;47;9;18;54;0;0;1169
A02;LAPINLAHDEN SILTA;25494579;6672693;2;2200;2011;615;28;5;11;31;0;0;690
A02;LAPINLAHDEN SILTA;25494579;6672693;2;2300;2011;451;21;4;9;24;0;0;509
A03;MERIKANNONTIE;25495193;6673910;1;0;2011;8;0;0;0;0;0;0;8
A03;MERIKANNONTIE;25495193;6673910;1;100;2011;4;0;0;0;0;0;0;4
A03;MERIKANNONTIE;25495193;6673910;1;200;2011;2;0;0;0;0;0;0;2
A03;MERIKANNONTIE;25495193;6673910;1;300;2011;2;0;0;0;0;0;0;2
A03;MERIKANNONTIE;25495193;6673910;1;400;2011;3;0;0;0;0;0;0;3
A03;MERIKANNONTIE;25495193;6673910;1;500;2011;8;0;0;0;0;0;0;8
A03;MERIKANNONTIE;25495193;6673910;1;600;2011;4;0;0;0;0;0;0;4
A03;MERIKANNONTIE;25495193;6673910;1;615;2011;11;1;0;0;0;0;0;12
A03;MERIKANNONTIE;25495193;6673910;1;630;2011;34;0;0;0;0;0;0;34
A03;MERIKANNONTIE;25495193;6673910;1;645;2011;26;4;0;0;0;1;0;30
A03;MERIKANNONTIE;25495193;6673910;1;700;2011;21;1;0;0;0;0;0;22
A03;MERIKANNONTIE;25495193;6673910;1;715;2011;26;2;1;0;0;0;0;29
A03;MERIKANNONTIE;25495193;6673910;1;730;2011;35;3;0;0;1;0;0;39
A03;MERIKANNONTIE;25495193;6673910;1;745;2011;67;6;0;0;0;0;0;73
A03;MERIKANNONTIE;25495193;6673910;1;800;2011;78;2;1;0;0;0;0;81
A03;MERIKANNONTIE;25495193;6673910;1;815;2011;81;2;0;0;0;0;0;83
A03;MERIKANNONTIE;25495193;6673910;1;830;2011;83;7;0;0;1;1;0;91
A03;MERIKANNONTIE;25495193;6673910;1;845;2011;91;2;0;0;0;0;0;93
A03;MERIKANNONTIE;25495193;6673910;1;900;2011;169;16;2;0;0;0;0;187
A03;MERIKANNONTIE;25495193;6673910;1;1000;2011;97;11;5;0;0;1;0;113
A03;MERIKANNONTIE;25495193;6673910;1;1100;2011;107;15;2;0;0;0;0;124
A03;MERIKANNONTIE;25495193;6673910;1;1200;2011;100;12;1;0;1;0;0;114
A03;MERIKANNONTIE;25495193;6673910;1;1300;2011;117;10;3;0;1;5;0;131
A03;MERIKANNONTIE;25495193;6673910;1;1400;2011;105;16;3;0;0;0;0;124
A03;MERIKANNONTIE;25495193;6673910;1;1500;2011;23;2;1;0;0;0;0;26
A03;MERIKANNONTIE;25495193;6673910;1;1515;2011;31;3;0;0;0;0;0;34
A03;MERIKANNONTIE;25495193;6673910;1;1530;2011;37;5;1;0;0;0;0;43
A03;MERIKANNONTIE;25495193;6673910;1;1545;2011;52;3;0;0;0;0;0;55
A03;MERIKANNONTIE;25495193;6673910;1;1600;2011;60;1;0;0;0;0;0;61
A03;MERIKANNONTIE;25495193;6673910;1;1615;2011;46;2;0;0;0;0;0;48
A03;MERIKANNONTIE;25495193;6673910;1;1630;2011;32;3;0;0;0;0;0;35
A03;MERIKANNONTIE;25495193;6673910;1;1645;2011;31;2;1;0;0;0;0;34
A03;MERIKANNONTIE;25495193;6673910;1;1700;2011;41;1;1;0;0;0;0;43
A03;MERIKANNONTIE;25495193;6673910;1;1715;2011;44;1;0;0;0;0;0;45
A03;MERIKANNONTIE;25495193;6673910;1;1730;2011;41;3;0;0;0;0;0;44
A03;MERIKANNONTIE;25495193;6673910;1;1745;2011;32;1;1;0;0;0;0;34
A03;MERIKANNONTIE;25495193;6673910;1;1800;2011;125;3;0;0;0;0;0;128
A03;MERIKANNONTIE;25495193;6673910;1;1900;2011;87;4;1;0;0;1;0;92
A03;MERIKANNONTIE;25495193;6673910;1;2000;2011;77;3;1;0;0;0;0;81
A03;MERIKANNONTIE;25495193;6673910;1;2100;2011;28;1;0;0;0;0;0;29
A03;MERIKANNONTIE;25495193;6673910;1;2200;2011;19;1;0;0;0;0;0;20
A03;MERIKANNONTIE;25495193;6673910;1;2300;2011;6;0;0;0;0;0;0;6
A03;MERIKANNONTIE;25495193;6673910;2;0;2011;1;0;0;0;0;0;0;1
A03;MERIKANNONTIE;25495193;6673910;2;100;2011;1;0;0;0;0;0;0;1
A03;MERIKANNONTIE;25495193;6673910;2;200;2011;1;0;0;0;0;0;0;1
A03;MERIKANNONTIE;25495193;6673910;2;300;2011;1;0;0;0;0;0;0;1
A03;MERIKANNONTIE;25495193;6673910;2;400;2011;1;0;0;0;0;0;0;1
